"","tmp.hash","tmp.tx","wholetax.tg"
"1","c88fbd921aee1b6d76ad6ff15825be8d2f748de7","Taxon_01","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"2","218bcd44eeb21aa6a3a3f19109ad92c828df0b5b","Taxon_02","Metazoa__Chordata__Aves__NA__NA__NA__NA"
"3","9cef33633184a750730a9faaf4192bcea9f1e597","Taxon_03","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"4","e40fb96052f16f440bd91a6725c01e58e4e41ec8","Taxon_04","Metazoa__NA__NA__NA__NA__NA__NA"
"5","83424f2c63681ca93ee14c9ff6a10d4ab9b739fd","Taxon_05","Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA"
"6","0f5e5476e57373920e469bb97b617e664c3fea46","Taxon_06","Metazoa__Chordata__NA__NA__NA__NA__NA"
"7","c1ff194068f01f6f93159ceaf5d383ed5213d44c","Taxon_07","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"8","3b42c7a47b9074948b9dea421e7e2a5084528a52","Taxon_08","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"9","b0c04903c1971f5667a14137a1eccdc45021702c","Taxon_09","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA"
"10","96e0d2e05fdd8d9b931fe5e60411d629add7c1f1","Taxon_10","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"11","4f5a8ba9384e9319037801db31c908ac15aa47a3","Taxon_11","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
"12","bc3d86cba14ca126fc1fc3c71a8104c3f73f2799","Taxon_12","Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA"
"13","1c801cf8f157213e595654e166770735671d1312","Taxon_13","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"14","6ad35ad579131125c5d2a07e26823c476235cf06","Taxon_14","Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA"
"15","89ffc36758d8ff36877519964a103c12c501ad1b","Taxon_15","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"16","f8bdb6e6b2dae95934bb3a03f531b6cb4814f6d2","Taxon_16","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
"17","c500d7ec826b5efb9f0a434d27df7762ff552906","Taxon_17","Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA"
"18","cc96026a8e35e019fa5175033873e873f1692c4c","Taxon_18","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"19","0456d21ee33b5950d6721190158fedd0727703cf","Taxon_19","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"20","4adb361c12ed552deff0c5a9063841455ca1b607","Taxon_20","Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA"
"21","32509bb4d3e3fbfaf2b040d0f18cf3b210fd9d2a","Taxon_21","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"22","f36eeff5609824c9b2ac580108d2da811de42116","Taxon_22","Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA"
"23","a8d1ecd4f48f2cd13a5459ef190ca2155daea809","Taxon_23","Metazoa__Chordata__Amphibia__Anura__NA__NA__NA"
"24","0e5fdd726bc43bc4d26ed434f8f0868916adc4d7","Taxon_24","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"25","b35635c6602286fd864a17863a75f8fa6e307b55","Taxon_25","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"26","6f1367acc33394f5d31843edbc84ea1b7332f121","Taxon_26","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"27","08f2c8022902684986af33f214c9e74300e4bffc","Taxon_27","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"28","d5cddc3318535fd7b6680180922318016c78986b","Taxon_28","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA"
"29","900a4affd25f939ff05370b03c75c2cddfb08911","Taxon_29","Metazoa__Chordata__NA__NA__NA__NA__NA"
"30","a45e9fa1aa847b1081e33e62d0ce6bc3037b673c","Taxon_30","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"31","df9ef3397d5b4c17a73782768ec0bff350704f39","Taxon_31","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"32","ae78fe04ec1f51e9ab6817a4f1c32cf79e76e5c1","Taxon_32","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"33","1cb226fd2472369ee23d19b650f898163c907759","Taxon_33","Metazoa__Chordata__Amphibia__Anura__NA__NA__NA"
"34","906dbe39422c7de7d177892dd13d686e988e4364","Taxon_34","Metazoa__NA__NA__NA__NA__NA__NA"
"35","9fdd880bdfd8870e251254669e183ad8b9c67558","Taxon_35","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"36","594139a9dc3713ee8dbf6d03b7c5db479aa8e035","Taxon_36","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"37","908573ba138018c4073c3260fde15ddea00f68fe","Taxon_37","Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA"
"38","8f18ef409b606c3752f00ac0d511194d1655ecc0","Taxon_38","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"39","7d713ec2da7877e8275a90e368449d8a2e57483d","Taxon_39","Metazoa__Chordata__Aves__NA__NA__NA__NA"
"40","e8e64179bf465c433281a29d54bdec82a3aac19e","Taxon_40","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"41","0d7bc805a1b42b0d7f4ff8c4a91bddf3ff3e8361","Taxon_41","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"42","248099b6e79b9807f1a691683921f00bf963cfd0","Taxon_42","Metazoa__Chordata__Mammalia__Chiroptera__Vespertilionidae__Myotis__NA"
