"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"9cef33633184a750730a9faaf4192bcea9f1e597",359,88,52,290,387,192,97,148,355,17,219,3294,1539,2904,0,4245,5662,182,109,341,84,3497,3753,0,478,140,122,1888,0,295
"c1ff194068f01f6f93159ceaf5d383ed5213d44c",2781,4861,5314,977,4861,1324,3198,699,2001,5829,2802,368,3146,0,0,0,1902,2365,0,121,613,164,11,0,380,335,325,4961,5455,5682
"c88fbd921aee1b6d76ad6ff15825be8d2f748de7",123,0,0,0,0,0,0,0,0,0,0,814,553,1040,0,0,0,0,9,422,878,169,1577,0,116,0,6,0,0,0
"3b42c7a47b9074948b9dea421e7e2a5084528a52",718,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,761,0,0,0,0,0,0,0,0,274
"96e0d2e05fdd8d9b931fe5e60411d629add7c1f1",194,305,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,52,166,3115,0,0,0,0,0,0,0,0,0,64
"bc3d86cba14ca126fc1fc3c71a8104c3f73f2799",619,0,73,610,0,0,49,0,0,0,0,0,166,78,0,0,0,84,0,47,1201,0,0,0,0,0,0,0,92,4476
"6ad35ad579131125c5d2a07e26823c476235cf06",599,0,264,0,286,737,0,0,869,0,0,0,0,0,85,99,310,0,0,0,0,0,0,0,0,0,0,0,0,0
"f9b14e07e2dfbff96d73cd414b006c43cd5d3d2a",1991,0,0,0,0,0,0,0,0,0,0,0,0,123,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,281
"e8e64179bf465c433281a29d54bdec82a3aac19e",240,0,0,0,0,0,0,0,0,0,0,0,854,258,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0
"218bcd44eeb21aa6a3a3f19109ad92c828df0b5b",153,463,0,47,121,95,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,142,163,0,0,96
