"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_001",359,88,52,290,387,192,97,148,355,17,219,3294,1539,2904,0,4245,5662,182,109,341,84,3497,3753,0,478,140,122,1888,0,295
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_002",2781,4861,5314,977,4861,1324,3198,699,2001,5829,2802,368,3146,0,0,0,1902,2365,0,121,613,164,11,0,380,335,325,4961,5455,5682
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_003",123,0,0,0,0,0,0,0,0,0,0,814,553,1040,0,0,0,0,9,422,878,169,1577,0,116,0,6,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Seq_004",718,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,761,0,0,0,0,0,0,0,0,274
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_005",194,305,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,52,166,3115,0,0,0,0,0,0,0,0,0,64
"Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Seq_006",619,0,73,610,0,0,49,0,0,0,0,0,166,78,0,0,0,84,0,47,1201,0,0,0,0,0,0,0,92,4476
"NA__NA__NA__NA__NA__NA__NA__Seq_007",37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Seq_008",599,0,264,0,286,737,0,0,869,0,0,0,0,0,85,99,310,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Seq_009",1991,0,0,0,0,0,0,0,0,0,0,0,0,123,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,281
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_010",240,0,0,0,0,0,0,0,0,0,0,0,854,258,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_011",153,463,0,47,121,95,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,142,163,0,0,96
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Seq_012",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,202,0,302,0,0,0,0,0,0,80,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_013",12,24,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"NA__NA__NA__NA__NA__NA__NA__Seq_014",11,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_015",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_016",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_017",7,0,0,20,0,8,0,17,0,0,0,0,0,0,0,0,19,0,6,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_018",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_019",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_020",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_021",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_022",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_023",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_024",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_025",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_026",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_027",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_028",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_029",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_030",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_031",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_032",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_033",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_034",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_035",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_036",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Seq_037",0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,51,0,0,0,0,0,0,0,0,49
"Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA__Seq_038",0,66,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,874,51,0,0,3676,508,0,334,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_039",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_040",0,145,0,1333,0,0,0,0,0,51,0,0,0,0,0,0,0,0,210,110,0,0,0,0,0,295,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_041",0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_042",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_043",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_044",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_045",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_046",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_047",0,0,287,0,1147,1212,326,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Seq_048",0,0,314,0,0,558,47,0,1081,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,0,210
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_049",0,0,717,0,0,0,1237,0,0,0,0,0,207,0,0,0,0,0,0,56,0,0,0,0,0,335,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_050",0,0,339,0,0,0,216,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,566,318,0,0,0
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__NA__NA__Seq_051",0,0,120,0,0,0,0,0,0,0,0,46,0,0,0,0,0,47,57,0,0,0,0,0,0,0,0,0,0,1232
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA__Seq_052",0,0,37,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_053",0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_054",0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,41,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_055",0,0,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_056",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Seq_057",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
