"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_001","9cef33633184a750730a9faaf4192bcea9f1e597","Seq_001"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_002","c1ff194068f01f6f93159ceaf5d383ed5213d44c","Seq_002"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_003","c88fbd921aee1b6d76ad6ff15825be8d2f748de7","Seq_003"
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Seq_004","3b42c7a47b9074948b9dea421e7e2a5084528a52","Seq_004"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_005","96e0d2e05fdd8d9b931fe5e60411d629add7c1f1","Seq_005"
"Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Seq_006","bc3d86cba14ca126fc1fc3c71a8104c3f73f2799","Seq_006"
"NA__NA__NA__NA__NA__NA__NA__Seq_007","35ddadd8ea563f763968309c12dba94da979583c","Seq_007"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Seq_008","6ad35ad579131125c5d2a07e26823c476235cf06","Seq_008"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA__Seq_009","f9b14e07e2dfbff96d73cd414b006c43cd5d3d2a","Seq_009"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_010","e8e64179bf465c433281a29d54bdec82a3aac19e","Seq_010"
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_011","218bcd44eeb21aa6a3a3f19109ad92c828df0b5b","Seq_011"
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Seq_012","605e81122c5334eec5d3e0d47a6eb5cb7d7f8845","Seq_012"
"NA__NA__NA__NA__NA__NA__NA__Seq_013","8afbb46f08ab51ac91d806c7ffe8b97f833e340b","Seq_013"
"NA__NA__NA__NA__NA__NA__NA__Seq_014","2aea285cd290a815775098f9481a31e9c1952718","Seq_014"
"NA__NA__NA__NA__NA__NA__NA__Seq_015","5f0a812d0f350abc67a702348bfccbe2f767af6d","Seq_015"
"NA__NA__NA__NA__NA__NA__NA__Seq_016","ecb2900de20def96eaaa38098ba012445b96036c","Seq_016"
"NA__NA__NA__NA__NA__NA__NA__Seq_017","3c2f7223861ca22a07def93042cf5aebd7404dd3","Seq_017"
"NA__NA__NA__NA__NA__NA__NA__Seq_018","080d8996da9aa660c43cb6ded8d63c0a54d9619c","Seq_018"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_019","99d16c0b051b45e91b45a91e5dc1d7207b407735","Seq_019"
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_020","3ccb84fdff37d19b86f782d7231995a8fce43afd","Seq_020"
"NA__NA__NA__NA__NA__NA__NA__Seq_021","f264e8f8316d86ddb9ae41e5438381461ae54534","Seq_021"
"NA__NA__NA__NA__NA__NA__NA__Seq_022","daf44aeea543f67e5b0f08ebdebe8b972481eed2","Seq_022"
"NA__NA__NA__NA__NA__NA__NA__Seq_023","3ecfd0084cb46b7dccea8bb765b447f9e1a3929b","Seq_023"
"NA__NA__NA__NA__NA__NA__NA__Seq_024","4a020cfb46791b87e051b9f6e228271d3a49e021","Seq_024"
"NA__NA__NA__NA__NA__NA__NA__Seq_025","58bfc479cfeb85635ba5ce32785f7317ff018762","Seq_025"
"NA__NA__NA__NA__NA__NA__NA__Seq_026","b7e8f42a235c16591bd21bc39ecb3a070993b216","Seq_026"
"NA__NA__NA__NA__NA__NA__NA__Seq_027","f54e86bd6903a742e5291c403a59420ee346268f","Seq_027"
"NA__NA__NA__NA__NA__NA__NA__Seq_028","39ce2858771642328e7171197d80ee7494761776","Seq_028"
"NA__NA__NA__NA__NA__NA__NA__Seq_029","7f71b555414770ae76790fa436ce385412498e76","Seq_029"
"NA__NA__NA__NA__NA__NA__NA__Seq_030","7a34a40a9c0d3fb9269e9dc2ef21176c5e490bc6","Seq_030"
"NA__NA__NA__NA__NA__NA__NA__Seq_031","a4ff0acca6b4d48fc91670e538c962b608bd3cb1","Seq_031"
"NA__NA__NA__NA__NA__NA__NA__Seq_032","55217363b27699fa6daa069040ae0b927443aa2c","Seq_032"
"NA__NA__NA__NA__NA__NA__NA__Seq_033","788873006a50218fd778efc5e87116ce9c09f22a","Seq_033"
"NA__NA__NA__NA__NA__NA__NA__Seq_034","d210be636e08f16553f98a05485dc72c5ff7efe8","Seq_034"
"NA__NA__NA__NA__NA__NA__NA__Seq_035","faa643342dea832bdf86c4bf1c57fc85ca04ee33","Seq_035"
"NA__NA__NA__NA__NA__NA__NA__Seq_036","65657deaf08abe15d4c5e768411b8dbd03e211c9","Seq_036"
"Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Seq_037","4f5a8ba9384e9319037801db31c908ac15aa47a3","Seq_037"
"Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA__Seq_038","f56ee2fd34e1d6961a81cfeab9009ccf1cfa4f2b","Seq_038"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_039","1c801cf8f157213e595654e166770735671d1312","Seq_039"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_040","0e5fdd726bc43bc4d26ed434f8f0868916adc4d7","Seq_040"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_041","10f9083f929600f6ff686441779485e389ac0e08","Seq_041"
"NA__NA__NA__NA__NA__NA__NA__Seq_042","7f7f7886be110093d2bb56364f521209b1e0cf44","Seq_042"
"NA__NA__NA__NA__NA__NA__NA__Seq_043","334ebb7b2ee3eb8ada3881e2f5a4d5334790c9f1","Seq_043"
"NA__NA__NA__NA__NA__NA__NA__Seq_044","4f8295e14b054437e909423e2af97502843c8445","Seq_044"
"NA__NA__NA__NA__NA__NA__NA__Seq_045","0cd1ccdb6197222fbe64cd45de302c897a7a9263","Seq_045"
"NA__NA__NA__NA__NA__NA__NA__Seq_046","6cbe7358ce1758da45c49347365c042d7b8e5732","Seq_046"
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_047","f36eeff5609824c9b2ac580108d2da811de42116","Seq_047"
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Seq_048","583a0c6bdca7296450abbc44772c66033d98db8e","Seq_048"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_049","2b60c33be247c0a0f3ceee309981ca2fa72ebae8","Seq_049"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_050","5ddcde6f664a77404a2c6dd84e13b4b8dedd1675","Seq_050"
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__NA__NA__Seq_051","571b5f2cabd4501564a8642bdc2af6b0ce79946c","Seq_051"
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA__Seq_052","4adb361c12ed552deff0c5a9063841455ca1b607","Seq_052"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_053","686deecee10e3591bacc7159d13c76b7fa1aa2f9","Seq_053"
"NA__NA__NA__NA__NA__NA__NA__Seq_054","25a91e4ecefce3fc251c519cad0dbb99caba5b8a","Seq_054"
"NA__NA__NA__NA__NA__NA__NA__Seq_055","20c2fa1d7690ba510db7343c2cdd1e5b99bd26fa","Seq_055"
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Seq_056","8759ee1bd816fb2566fc91749c463bd8a54c643d","Seq_056"
"Metazoa__Chordata__NA__NA__NA__NA__NA__Seq_057","052eba479300ea1bc7b789a9466dfc77275236d5","Seq_057"
"NA__NA__NA__NA__NA__NA__NA__Seq_058","eb5e59354abeac64e04c5c2b5f26c5bb1a3bf021","Seq_058"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Seq_059","6f1367acc33394f5d31843edbc84ea1b7332f121","Seq_059"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_060","e40fb96052f16f440bd91a6725c01e58e4e41ec8","Seq_060"
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Seq_061","f67abaafe4e1a4ac4a776ce5e3ca724c00f53998","Seq_061"
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Seq_062","83424f2c63681ca93ee14c9ff6a10d4ab9b739fd","Seq_062"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_063","08001ec7e649fab73d4233cfcdaaf0192b45a896","Seq_063"
