"","tmp.hash","tmp.tx","wholetax.tg"
"1","9cef33633184a750730a9faaf4192bcea9f1e597","Taxon_01","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"2","c1ff194068f01f6f93159ceaf5d383ed5213d44c","Taxon_02","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"3","c88fbd921aee1b6d76ad6ff15825be8d2f748de7","Taxon_03","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"4","3b42c7a47b9074948b9dea421e7e2a5084528a52","Taxon_04","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"5","96e0d2e05fdd8d9b931fe5e60411d629add7c1f1","Taxon_05","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"6","bc3d86cba14ca126fc1fc3c71a8104c3f73f2799","Taxon_06","Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA"
"7","6ad35ad579131125c5d2a07e26823c476235cf06","Taxon_07","Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA"
"8","f9b14e07e2dfbff96d73cd414b006c43cd5d3d2a","Taxon_08","Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA"
"9","e8e64179bf465c433281a29d54bdec82a3aac19e","Taxon_09","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"10","218bcd44eeb21aa6a3a3f19109ad92c828df0b5b","Taxon_10","Metazoa__Chordata__Aves__NA__NA__NA__NA"
"11","605e81122c5334eec5d3e0d47a6eb5cb7d7f8845","Taxon_11","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"12","99d16c0b051b45e91b45a91e5dc1d7207b407735","Taxon_12","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"13","4f5a8ba9384e9319037801db31c908ac15aa47a3","Taxon_13","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
"14","f56ee2fd34e1d6961a81cfeab9009ccf1cfa4f2b","Taxon_14","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA"
"15","1c801cf8f157213e595654e166770735671d1312","Taxon_15","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"16","0e5fdd726bc43bc4d26ed434f8f0868916adc4d7","Taxon_16","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"17","571b5f2cabd4501564a8642bdc2af6b0ce79946c","Taxon_17","Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__NA__NA"
"18","4adb361c12ed552deff0c5a9063841455ca1b607","Taxon_18","Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA"
"19","6f1367acc33394f5d31843edbc84ea1b7332f121","Taxon_19","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"20","e40fb96052f16f440bd91a6725c01e58e4e41ec8","Taxon_20","Metazoa__NA__NA__NA__NA__NA__NA"
"21","f67abaafe4e1a4ac4a776ce5e3ca724c00f53998","Taxon_21","Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA"
"22","83424f2c63681ca93ee14c9ff6a10d4ab9b739fd","Taxon_22","Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA"
"23","ae78fe04ec1f51e9ab6817a4f1c32cf79e76e5c1","Taxon_23","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"24","e3b80b171812e15ef9b5a120d1211f5d5676d92b","Taxon_24","Metazoa__Chordata__NA__NA__NA__NA__NA"
"25","e6125480d198ed820612aa933a2bebb3f2c8f740","Taxon_25","Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA"
"26","e91e2be7c48448a6a54865920cd1bca93cb96e00","Taxon_26","Metazoa__Chordata__Mammalia__Carnivora__Canidae__NA__NA"
"27","d047f7b93b26ef7d1a8317a7086d8df0918fa2ef","Taxon_27","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"28","cc96026a8e35e019fa5175033873e873f1692c4c","Taxon_28","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"29","08f2c8022902684986af33f214c9e74300e4bffc","Taxon_29","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"30","e6e2c49cea9e93107e4b118e442981ca2cebcd79","Taxon_30","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"31","de2b2088e6fb87e6a6e32659c162deba78e26c81","Taxon_31","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
