"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"1d83734ad1508a2bc3da6c3e93043f11d6241edd",0,0,39,0,19,0,0,0,7,694,1338,1201,238,332,453,261,87,529,736,116,0,0,0,0,0,0,0
"a0a241cfdf8976d02ca6f45538ee305b8773887e",0,0,82,0,0,0,0,0,0,0,36,0,673,761,461,12,0,0,0,0,0,0,0,0,0,0,0
"6932c543f466b6999e5d873a804d35026d165907",0,0,1658,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5f93fecbbef73ab55151476221fe34d6993c857b",0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4e64e63a14010ab38462e7b690abcd926e7cd78d",0,0,168,0,0,0,0,0,0,22,40,3,262,6,0,332,0,19,9,449,0,0,0,0,0,0,0
"5402672c4768a47baecb5975ab6c20c36403b705",0,0,103,0,0,0,0,8,0,0,0,0,773,0,0,7,19,0,9,4,0,0,0,0,0,0,0
"134d525cdb78a3672bc9ac147ce77beb821f0b0c",0,0,727,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abe0bf67a21ad20d5c577c0d52464c88ef8089a9",0,0,12,0,0,0,25,12,2,0,0,208,139,8,0,52,6,7,148,85,0,0,0,0,0,0,0
"af293dba5ecb19eeb33a9be3e2a121c0394055d4",0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1827db174fa6eb392e23cdaa8e7f9d52dec8d282",0,0,46,0,0,0,10,0,8,32,73,67,130,12,19,0,0,0,0,0,0,0,0,0,0,0,0
"048dcbee2969f14b43413c82ad3d0c2be64fe891",0,0,35,0,28,0,13,10,35,8,48,84,10,0,0,0,0,42,40,15,0,0,0,0,0,0,0
"cb29ca7773795efd57bb73788900815d6ae759be",0,0,26,0,18,0,0,0,0,17,53,79,81,8,5,0,0,0,7,16,0,0,0,0,0,0,0
"c2254030f30e53e9bffe01e4a4731958635221f7",0,0,56,0,0,0,0,8,0,0,0,0,0,0,0,0,0,35,187,8,0,0,0,0,0,0,0
"0a8b79f8a5aeb76df32661fd3f72d6aed1447e98",0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d44ba9bd42ba9a0d96893178f4f679d0540ab495",0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9c059db1bceb5c385c5b59613b0d6cc2b2be5d01",0,0,40,0,0,0,0,8,0,0,0,0,165,0,0,0,0,19,14,24,0,0,0,0,0,0,0
"bd0dd81bbb7c69728d9f65819d1e7dd09c5cb081",0,0,86,0,0,0,0,0,0,0,35,75,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65f6bfe729c034b6df6c281c1fc58b0f2b3a9dea",0,0,44,0,0,0,5,44,6,0,37,16,61,0,0,0,0,0,16,33,0,0,0,0,0,0,0
"0289b82b827f41c2ffa173f9f64ce48602348805",0,0,45,0,0,0,0,0,0,0,0,0,204,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"5086fae1658a584a1a36244af7354026b9a3cf55",0,0,59,0,0,0,0,0,0,0,112,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ace979e677c8ca8737eb89c62f1f0906c1f4b8d0",0,0,179,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09603c99dc449aa470d1193fdce936896f472173",0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25d1ca60b7c29b7c6d1c60e2eecf5049f52dbd10",0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aaae5d66b30adf4f285e5d241640cacfd90619f9",0,0,10,0,0,0,10,11,7,48,21,38,26,0,11,10,0,8,0,14,0,0,0,0,0,0,0
"c79930e111b52a7dda5d22532dd60076f287c148",0,0,37,0,0,0,5,0,8,0,0,39,16,0,0,0,0,11,17,65,0,0,0,0,0,0,0
"6320fe3fec711c8d1581f91b1b3c10f031fb5a9a",0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"993acc6be81aed3e7d29b9e0745e6eaad41e12b3",0,0,7,0,0,0,0,0,0,34,36,48,38,0,0,0,0,11,5,0,0,0,0,0,0,0,0
"771f28a449ba95001a8ef77bc700683f642ce012",0,0,73,0,0,0,28,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3a0c25e65c97dd19339de6e91bedeb1c645a42a5",0,0,16,0,0,0,8,6,17,0,0,12,11,0,0,0,14,22,58,11,0,0,0,0,0,0,0
"d843634f7d60fc3907bd6749e302c415da6ffbaa",0,0,19,0,0,0,42,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61312e4ace2653f7f4e371154fa2c36b6e3a988c",0,0,10,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36331ecce3e036747f7b57f19a6243a65780c77a",0,0,24,0,0,0,47,12,13,0,0,0,0,0,0,31,0,0,9,0,0,0,0,0,0,0,0
"ae915e3b20caa5b6d85407d739e9a7df320ac243",0,0,31,0,0,0,11,11,20,0,0,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dd33abcc19db1d817ea226f487ec64736e321bca",0,0,6,0,0,0,24,27,20,0,0,0,0,0,0,13,0,16,7,0,0,0,0,0,0,0,0
"7dae1ef48dc2dfb3fe4e180f5ddaa76d4c2ff730",0,0,6,0,0,0,28,17,13,0,0,0,4,14,0,0,0,0,0,30,0,0,0,0,0,0,0
"8aeded6cb3a6e18a537159fe63439f1d6553a902",0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6bcfb5f5916fbb63629015131eb5093a34488799",0,0,39,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5fce4850cde7ebbf98086537b2117e43f1fb8670",0,0,17,0,0,0,0,0,0,0,33,32,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"04cc0c9c2236d045d133c2353981f48ec448b610",0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f78df2aff4b80e762e2310db8553ed02d04dcb13",0,0,7,0,0,0,0,0,0,28,11,7,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"27427157036103c0a19c44a691a7cb0bd0de8ea7",0,0,5,0,0,0,0,0,0,17,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0,0
"fd02756447f324e0369f520e440bd2c436942ecb",0,0,13,0,0,0,0,0,0,0,34,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45f8085af5a237eaeb1e8b68acca24633a76aeeb",0,0,3,0,0,0,0,0,0,31,0,3,9,0,0,0,0,7,0,28,0,0,0,0,0,0,0
"4ef05d4212f542ac6c6f606ea8735a5286eec52b",0,0,10,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184df3aca0a4b70f99ac63eb7b994e4f9a5139c1",0,0,7,0,0,0,0,0,0,0,13,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d919a076be6845ef57b8e56988400b119b71c8be",0,0,18,0,11,0,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"5469b5bce91e7829cdcf8e0e011acbe4fd2a38e8",0,0,10,0,0,0,0,0,0,0,10,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"477b66afc8df26d36f761ecd7ea5150dfd9d4194",0,0,11,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
