"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"665fbb34b0bd88c1cca78151d693208de0393c85",3594,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dae90776f80bda22e272442b309639d6629b87bf",2669,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8ced4e264bbb8d3ddb99269a95fa959f870dd15a",2054,2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5c026bc4d86869a5f740acd9ddf38934be1b4b80",1655,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230082a170f5ef20031c4ed9a59bc4335ae252fb",1373,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957ef09d67d03c376fff8b00c09490f675c2b318",1217,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aebc6333bf79c5bae216fd9a30bcd32bbb5fba4a",1166,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b54cdffeb57cb1e9e80e2b9d978282a72ab581e9",1391,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8b3e3a0ec89e34142cbb30202034de872ddd3fce",537,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ff3e6d2a9b832df20459bfb44976ae614173b19",816,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d03b8cfa0dfec175a7269ced0f7112f3e89a5fa6",877,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"683dbfc1d4b635e02a9e2bf89b45af2c706cd99d",522,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adfcdeda211d362fe10ef72df466f2d70effb0cc",530,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d557cf176108989ef8fce2c2412863b5d7afba4c",461,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8df2af385d72d04e50850fdbf0c164ad4a19ef94",487,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"594715bccf5200da99c4d14884216866dbf42370",311,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6e05db6d2b08190b0f5847df87371b0a625af0e2",684,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fddd2fdb38c11fadeba8fc9d08e0ad9a358d977d",462,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02b3c3e1867e94f1422597e5d74bc54dfc792449",355,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc406133048d9b1c3ab06e33c74e64dd6c57b6b4",346,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246e354f238131e6912ea2faa04d91b5872e6faa",368,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90e44fac9bf7f1cbae3d6a50f6e228630778adbf",303,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b7df987e16358e0b4975ed770263f5ec43e2fe1",435,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29fcd0dc8315f8bf2d7732ad3bf854b99cc3a07e",252,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6cec0e35eb0a1f5b7122eb61794d3a2ba304a608",248,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4ce27127406d71e25f49571644701f3d6deb3b03",269,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6c4319fef7fb60bfd96df8a311b066544fb2ba31",347,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a599e8e8b7d37d6632d17672bbcfba9d221a269b",343,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03492303ca264b1b647b7b74b8eede99b7e014a5",176,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b1f72772586fa151b4d3c3cf9c8724717c7a207",299,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0e66520fde6477b768d0156c7fdbf18d7324f962",182,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16d3b9331babd339ad3c5b389711adf9c9cc4b2c",336,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b68e80867f7b254ae4b48c4ae8b2ae9bd83a72e7",230,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5aeb12e60cb38d63f7f894a9cb3b001fd533062",199,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c61fd9f0454e83614f6c3ba4204b89d6bd5c8d2f",292,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b7bc2b3c242e5ffecfd5d8ed4f6f0539aca377a",202,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d3b0b7ecc416c12c204c1142a81b737275b0607f",317,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55c018d2532e51d33f863de890abda49ffc8e236",372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2590c1ef52de2777ce3401359503534f169c1240",219,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e95cc929893d992c39ea010f8199d0d6829801d6",186,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ba5d4cca314f5d57f39a7f8aa25fcb09c59dd9d",226,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d4d2d4568d99747d965ba3687b50742702fb2fc",122,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa367cc2fdeb6c4cf65a8d4cbb54c0155420120f",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8fe3b049f5905a074f2c300991a40374aaf0b6c5",136,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eadd75b1845f38953f6e67a48420cdced9f95fb1",185,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41b345c284e92b8473211f6f71619de0be3fb6aa",302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
