"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_001",0,0,39,0,19,0,0,0,7,694,1338,1201,238,332,453,261,87,529,736,116,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__NA__NA__NA__NA__Taxon_002",0,0,82,0,0,0,0,0,0,0,36,0,673,761,461,12,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_003",0,0,2385,0,0,0,0,36,0,0,9,0,389,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_004",0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Platyhelminthes__NA__Tricladida__Planariidae__NA__NA__Taxon_005",0,0,168,0,0,0,0,0,0,22,40,3,262,6,0,332,0,19,9,449,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Plecoptera__Pteronarcyidae__Pteronarcys__Pteronarcys princeps__Taxon_006",0,0,103,0,0,0,0,8,0,0,0,0,773,0,0,7,19,0,9,4,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_007",0,0,12,0,0,0,25,12,2,0,0,208,139,8,0,52,6,7,148,85,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_008",0,0,407,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_009",0,0,46,0,0,0,10,0,8,32,73,67,167,12,19,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_010",0,0,35,0,28,0,13,10,35,8,48,84,10,0,0,0,0,42,40,15,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_011",0,0,26,0,18,0,9,0,0,17,53,86,81,19,27,0,0,0,7,16,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_012",0,0,56,0,0,0,0,8,0,0,0,0,0,0,0,0,0,35,187,8,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_013",0,0,285,0,67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_014",0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_015",0,0,40,0,0,0,0,8,0,100,11,25,165,9,4,0,0,19,14,24,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_016",0,0,99,0,0,0,53,21,24,0,103,127,94,0,0,0,0,0,29,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_017",0,0,44,0,6,0,119,270,6,159,63,29,64,0,0,0,0,0,60,33,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_018",0,0,45,0,0,0,0,0,0,0,0,0,204,6,15,0,0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_019",0,0,59,0,0,0,0,0,0,0,112,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_020",0,0,179,0,8,0,48,26,22,0,0,54,90,84,78,14,0,19,16,96,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_021",0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_022",0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viridiplantae__NA__NA__NA__NA__NA__NA__Taxon_023",0,0,10,0,0,0,10,11,7,48,21,38,26,0,11,10,0,8,0,14,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_024",0,0,37,0,0,0,5,7,8,0,0,39,16,13,0,0,0,11,17,65,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_025",0,0,73,0,0,0,28,0,0,31,43,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_026",0,0,16,0,0,0,8,6,17,0,22,12,11,0,0,0,14,22,58,11,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_027",0,0,19,0,0,0,102,102,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__Parapsyche__Parapsyche elsis__Taxon_028",0,0,10,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__NA__NA__NA__NA__Taxon_029",0,0,24,0,0,0,62,30,23,0,0,0,0,0,0,31,0,0,9,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_030",0,0,31,0,0,0,11,11,20,0,0,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__Parapsyche__Parapsyche almota__Taxon_031",0,0,6,0,0,0,24,27,20,0,0,0,0,0,0,13,0,16,7,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA__Taxon_032",0,0,6,0,0,0,28,17,13,0,0,0,7,14,14,0,0,0,0,30,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_033",0,0,39,0,0,0,0,2,0,13,21,18,67,0,0,0,0,8,9,18,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_034",0,0,17,0,0,0,0,0,0,0,33,32,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_035",0,0,7,0,0,0,0,0,0,28,11,7,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_036",0,0,5,0,13,0,0,0,0,17,29,38,32,85,34,34,0,0,8,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_037",0,0,3,0,0,0,0,0,0,31,0,3,26,0,0,0,0,7,0,28,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_038",0,0,10,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Cnidaria__NA__NA__NA__NA__NA__Taxon_039",0,0,7,0,0,0,0,0,0,0,13,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_040",0,0,18,0,11,0,0,0,5,17,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_041",0,0,10,0,0,0,0,0,0,0,10,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_042",0,0,11,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_043",0,0,18,0,0,0,0,0,5,22,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_044",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_045",0,0,22,0,7,0,9,12,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_046",0,0,29,0,0,0,0,3,0,0,0,9,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Octolasion__Octolasion cyaneum__Taxon_047",0,0,17,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_048",0,0,14,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_049",0,0,4,0,33,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_050",0,0,9,0,0,0,0,0,0,17,0,13,18,0,8,0,0,0,0,11,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_051",0,0,8,0,0,0,0,0,0,23,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_052",0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_053",0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_054",0,0,2,0,0,0,0,0,0,11,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_055",0,0,14,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_056",0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viridiplantae__NA__NA__NA__NA__NA__NA__Taxon_057",0,0,5,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__NA__Taxon_058",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_059",0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_060",0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_061",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_062",0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_063",0,0,2,0,0,0,0,3,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Trichoptera__Uenoidae__Neophylax__NA__Taxon_064",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_065",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_066",0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_067",0,0,15,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_068",0,0,13,0,0,0,0,2,6,0,9,9,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_069",0,0,12,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_070",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_071",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_072",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_073",0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_074",0,0,5,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
