"","tmp.hash","tmp.tx","wholetax.tg"
"1","1d83734ad1508a2bc3da6c3e93043f11d6241edd","Taxon_001","Metazoa__NA__NA__NA__NA__NA__NA"
"2","a0a241cfdf8976d02ca6f45538ee305b8773887e","Taxon_002","Metazoa__Chordata__Amphibia__NA__NA__NA__NA"
"3","6932c543f466b6999e5d873a804d35026d165907","Taxon_003","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"4","5f93fecbbef73ab55151476221fe34d6993c857b","Taxon_004","Metazoa__NA__NA__NA__NA__NA__NA"
"5","4e64e63a14010ab38462e7b690abcd926e7cd78d","Taxon_005","Metazoa__Platyhelminthes__NA__Tricladida__Planariidae__NA__NA"
"6","5402672c4768a47baecb5975ab6c20c36403b705","Taxon_006","Metazoa__Arthropoda__Insecta__Plecoptera__Pteronarcyidae__Pteronarcys__Pteronarcys princeps"
"7","abe0bf67a21ad20d5c577c0d52464c88ef8089a9","Taxon_007","Metazoa__NA__NA__NA__NA__NA__NA"
"8","af293dba5ecb19eeb33a9be3e2a121c0394055d4","Taxon_008","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"9","1827db174fa6eb392e23cdaa8e7f9d52dec8d282","Taxon_009","Metazoa__NA__NA__NA__NA__NA__NA"
"10","048dcbee2969f14b43413c82ad3d0c2be64fe891","Taxon_010","Metazoa__NA__NA__NA__NA__NA__NA"
"11","cb29ca7773795efd57bb73788900815d6ae759be","Taxon_011","Metazoa__NA__NA__NA__NA__NA__NA"
"12","c2254030f30e53e9bffe01e4a4731958635221f7","Taxon_012","Metazoa__NA__NA__NA__NA__NA__NA"
"13","0a8b79f8a5aeb76df32661fd3f72d6aed1447e98","Taxon_013","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"14","d44ba9bd42ba9a0d96893178f4f679d0540ab495","Taxon_014","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"15","9c059db1bceb5c385c5b59613b0d6cc2b2be5d01","Taxon_015","Metazoa__NA__NA__NA__NA__NA__NA"
"16","bd0dd81bbb7c69728d9f65819d1e7dd09c5cb081","Taxon_016","Metazoa__NA__NA__NA__NA__NA__NA"
"17","65f6bfe729c034b6df6c281c1fc58b0f2b3a9dea","Taxon_017","Metazoa__NA__NA__NA__NA__NA__NA"
"18","0289b82b827f41c2ffa173f9f64ce48602348805","Taxon_018","Metazoa__NA__NA__NA__NA__NA__NA"
"19","5086fae1658a584a1a36244af7354026b9a3cf55","Taxon_019","Metazoa__NA__NA__NA__NA__NA__NA"
"20","ace979e677c8ca8737eb89c62f1f0906c1f4b8d0","Taxon_020","Metazoa__NA__NA__NA__NA__NA__NA"
"21","09603c99dc449aa470d1193fdce936896f472173","Taxon_021","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"22","25d1ca60b7c29b7c6d1c60e2eecf5049f52dbd10","Taxon_022","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"23","aaae5d66b30adf4f285e5d241640cacfd90619f9","Taxon_023","Viridiplantae__NA__NA__NA__NA__NA__NA"
"24","c79930e111b52a7dda5d22532dd60076f287c148","Taxon_024","Metazoa__NA__NA__NA__NA__NA__NA"
"25","771f28a449ba95001a8ef77bc700683f642ce012","Taxon_025","Metazoa__NA__NA__NA__NA__NA__NA"
"26","3a0c25e65c97dd19339de6e91bedeb1c645a42a5","Taxon_026","Metazoa__NA__NA__NA__NA__NA__NA"
"27","d843634f7d60fc3907bd6749e302c415da6ffbaa","Taxon_027","Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA"
"28","61312e4ace2653f7f4e371154fa2c36b6e3a988c","Taxon_028","Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__Parapsyche__Parapsyche elsis"
"29","36331ecce3e036747f7b57f19a6243a65780c77a","Taxon_029","Metazoa__Annelida__Clitellata__NA__NA__NA__NA"
"30","ae915e3b20caa5b6d85407d739e9a7df320ac243","Taxon_030","Metazoa__NA__NA__NA__NA__NA__NA"
"31","dd33abcc19db1d817ea226f487ec64736e321bca","Taxon_031","Metazoa__Arthropoda__Insecta__Trichoptera__Hydropsychidae__Parapsyche__Parapsyche almota"
"32","7dae1ef48dc2dfb3fe4e180f5ddaa76d4c2ff730","Taxon_032","Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA"
"33","6bcfb5f5916fbb63629015131eb5093a34488799","Taxon_033","Metazoa__NA__NA__NA__NA__NA__NA"
"34","5fce4850cde7ebbf98086537b2117e43f1fb8670","Taxon_034","Metazoa__NA__NA__NA__NA__NA__NA"
"35","f78df2aff4b80e762e2310db8553ed02d04dcb13","Taxon_035","Metazoa__NA__NA__NA__NA__NA__NA"
"36","27427157036103c0a19c44a691a7cb0bd0de8ea7","Taxon_036","Metazoa__NA__NA__NA__NA__NA__NA"
"37","45f8085af5a237eaeb1e8b68acca24633a76aeeb","Taxon_037","Metazoa__NA__NA__NA__NA__NA__NA"
"38","4ef05d4212f542ac6c6f606ea8735a5286eec52b","Taxon_038","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"39","184df3aca0a4b70f99ac63eb7b994e4f9a5139c1","Taxon_039","Metazoa__Cnidaria__NA__NA__NA__NA__NA"
"40","d919a076be6845ef57b8e56988400b119b71c8be","Taxon_040","Metazoa__NA__NA__NA__NA__NA__NA"
"41","5469b5bce91e7829cdcf8e0e011acbe4fd2a38e8","Taxon_041","Metazoa__NA__NA__NA__NA__NA__NA"
"42","477b66afc8df26d36f761ecd7ea5150dfd9d4194","Taxon_042","Metazoa__NA__NA__NA__NA__NA__NA"
"43","8f2d818a2b1776bf9e2036c2901f534785ffb2d2","Taxon_043","Metazoa__NA__NA__NA__NA__NA__NA"
"44","c6ed1218579b46737260ce204304dbd531d1c717","Taxon_044","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"45","1d6a18f7a577fccd56559bf71d21525bf8e915e3","Taxon_045","Metazoa__NA__NA__NA__NA__NA__NA"
"46","368b6a0db6d1c21c975b5bf9b259d578916a6278","Taxon_046","Metazoa__NA__NA__NA__NA__NA__NA"
"47","596bbb1020ab6e515b1da16ffa0daaee2b4221bc","Taxon_047","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Octolasion__Octolasion cyaneum"
"48","dfaab8c19590a681bef7cbfd8ad8880749cb8c49","Taxon_048","Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA"
"49","78378d4de58d99f9e9ab6438f343d40d63ab73d2","Taxon_049","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"50","ffa0724f175119ba65329c927f0d75d6cb2bf5ae","Taxon_050","Metazoa__NA__NA__NA__NA__NA__NA"
"51","c26985d2e2a851452a431922627b474632e89d4f","Taxon_051","Metazoa__NA__NA__NA__NA__NA__NA"
"52","63eeba1a7a1fdde90bf34a1f273db4c9374db380","Taxon_052","Metazoa__NA__NA__NA__NA__NA__NA"
"53","4787203f94034399c72927dccb016dd46aaa1509","Taxon_053","Metazoa__NA__NA__NA__NA__NA__NA"
"54","0486c18e18695c2cb841b6e41b2caa52d897fab1","Taxon_054","Metazoa__NA__NA__NA__NA__NA__NA"
"55","4c02a7a512880812c93474a35cfd707b553e7695","Taxon_055","Metazoa__NA__NA__NA__NA__NA__NA"
"56","200ae4db7927cf1d5b24103b99c6f8e96f9fd000","Taxon_056","Metazoa__NA__NA__NA__NA__NA__NA"
"57","0b348a9fad3ebdedbdc764ca56e34752132f0be2","Taxon_057","Viridiplantae__NA__NA__NA__NA__NA__NA"
"58","6b3c8ca2fc70c7d523f0520e36369a286def78b7","Taxon_058","Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Lumbricus__NA"
"59","f96019923ddd91753aec4d2c1993306487b62bda","Taxon_059","Metazoa__NA__NA__NA__NA__NA__NA"
"60","d90b91a84d55f728a11514aae22e23e8c3b4c70d","Taxon_060","Fungi__NA__NA__NA__NA__NA__NA"
"61","f1a347af42940c434c23569e101c7514055f1ddf","Taxon_061","Metazoa__NA__NA__NA__NA__NA__NA"
"62","a8684abda2bdb56cdefe7ef9933fdc22745d0bc5","Taxon_062","Metazoa__NA__NA__NA__NA__NA__NA"
"63","a7556decf62acc946647073f7eb1c5a4fe4996a4","Taxon_063","Metazoa__NA__NA__NA__NA__NA__NA"
"64","13fe126719f3b038a3168c2bd72e3cde01974779","Taxon_064","Metazoa__Arthropoda__Insecta__Trichoptera__Uenoidae__Neophylax__NA"
"65","912895a85538630c17d165976dc53d64ec24e1ce","Taxon_065","Metazoa__NA__NA__NA__NA__NA__NA"
"66","60c0069db8364a1927b01241550c3fd1f098158c","Taxon_066","Metazoa__Arthropoda__NA__NA__NA__NA__NA"
"67","38ebc388a7ba4f81caa51690da0fb2adc999f9d3","Taxon_067","Metazoa__NA__NA__NA__NA__NA__NA"
"68","c3625993fc536572b0ca5d727cf6b08762d01644","Taxon_068","Metazoa__NA__NA__NA__NA__NA__NA"
"69","44712cf0b2ed8c2221c97c362e5aa65c05c28914","Taxon_069","Metazoa__NA__NA__NA__NA__NA__NA"
"70","15f99760df0db3851c1fe95ffefed5ed3cd6fa29","Taxon_070","Metazoa__NA__NA__NA__NA__NA__NA"
"71","c7f38598a8f4c2e883ce48460462f4044b4bc573","Taxon_071","Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA"
"72","d44d76792619069bad7076fd4cc8fd5094e5a318","Taxon_072","Metazoa__NA__NA__NA__NA__NA__NA"
"73","4d6e2eb86d3cdddc51684ab7fbc2e589cb482734","Taxon_073","Metazoa__NA__NA__NA__NA__NA__NA"
"74","3909757724d4b050aaacc296bc082e6d0571d654","Taxon_074","Metazoa__NA__NA__NA__NA__NA__NA"
"75","1adadc156d27b264f7c164620b97e31ba2660933","Taxon_075","Metazoa__Arthropoda__Insecta__Trichoptera__Philopotamidae__Dolophilodes__Dolophilodes novusamericanus"
"76","cdcc5676984a0ac683532e6cc3f3256d39a9faa9","Taxon_076","Metazoa__Annelida__Clitellata__NA__NA__NA__NA"
"77","a8480b298cd2aa334e588a2198da112857f02905","Taxon_077","Metazoa__Arthropoda__Insecta__Trichoptera__Limnephilidae__NA__NA"
"78","c008736528e5e9631ade15950ba471d68946e67b","Taxon_078","Metazoa__NA__NA__NA__NA__NA__NA"
"79","03416804d7c77520eee5ccb822f02d1ca1e20210","Taxon_079","Metazoa__NA__NA__NA__NA__NA__NA"
"80","fcb32c27a31e440d2d0d558b484c966b90bdf420","Taxon_080","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA"
"81","663afc2edb46a6a7eaa43015bca9d79d1255308a","Taxon_081","Metazoa__Arthropoda__Collembola__NA__NA__NA__NA"
"82","e38357d8d43a993440b148af8fc0a8a4b803b130","Taxon_082","Metazoa__Arthropoda__Insecta__Diptera__Syrphidae__NA__NA"
"83","e149cb74744ac0a1a65c81f058ce1ae52f36f7d8","Taxon_083","Metazoa__NA__NA__NA__NA__NA__NA"
"84","1c8e0e539bb2671f3039bf4ce04d0d29f9e9e684","Taxon_084","Metazoa__NA__NA__NA__NA__NA__NA"
"85","816a0ee750327bc96ffb301b2d1f524b64175956","Taxon_085","Metazoa__NA__NA__NA__NA__NA__NA"
"86","9b3253be445b6bcaf780af54a9d38b569d564653","Taxon_086","Metazoa__Annelida__Clitellata__Haplotaxida__Enchytraeidae__NA__NA"
"87","817433dc7ea65eadb1d37d9367a5c291427354d5","Taxon_087","Metazoa__NA__NA__NA__NA__NA__NA"
"88","7bc5c9c251af212df2a992e7dfb7ba934751d75e","Taxon_088","Metazoa__NA__NA__NA__NA__NA__NA"
"89","bc96610d4a8a950a29dcaa39fff8c3728f1b7e91","Taxon_089","Metazoa__NA__NA__NA__NA__NA__NA"
"90","d10a2e73ee159bca7e09646e4da47a01483a7796","Taxon_090","Metazoa__Arthropoda__Insecta__Thysanoptera__NA__NA__NA"
"91","952e7b2d6a9a6f3fb8a05c5bfc883004860eeef1","Taxon_091","Metazoa__Arthropoda__Insecta__Hymenoptera__Tenthredinidae__NA__NA"
"92","88f7b835becd5c8320f810bcd11ddd5ccc6a0f08","Taxon_092","Metazoa__NA__NA__NA__NA__NA__NA"
