"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"02e4a86c119ca4b65e5b616135fa996aa2eb4372",1578,3477,0,189,0,0,0,0,0,697,12885,32605,13231,14042,0,0,0,3075,3366,494,0,713,8742,9983,0,0,0,0,69,2217,1905,8727,4729,1565,11248,10498,10050,0
"ca4009e9f4961a466d717e77ddddcf64a374073d",191,36,0,59,0,0,198,0,0,0,11,70,27,0,0,141,233,64,50,97,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d8d284f8419abb75e2ddb771080f1475447d26c",105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,372,16,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"fd7d89190e5c165cf36284ea0fca46c98216328c",0,3166,2732,4955,0,5171,2029,19556,15461,25063,12483,36453,17980,3859,0,22619,22033,5455,6400,3267,1894,18386,32568,26859,9584,25280,45329,47251,1264,1356,1760,0,0,47824,29361,29964,26118,0
"90a559c5b60acd6215c8a00d7b78813e471103e5",0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"580a64b0134da56e49bf06482ed6ee164d8a6ec5",0,0,10643,0,0,0,0,0,0,0,0,89,0,10785,4142,0,11578,0,0,0,0,0,5666,3858,7372,9571,667,458,0,0,0,0,0,0,0,0,0,0
"c161735732d10ef81323d9b5812491897d2eb5ab",0,0,124,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,3,15,6,0,0,0,0,0,0,0
"a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a",0,0,3403,0,0,0,0,699,214,0,1154,9717,2403,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,92,6678,8670,6555,0
"2aabdc69f5f7834996039f4029fa03ecfe70ffc0",0,0,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64acd71396ce9fd7a044de196d7f1e36a58c8f32",0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61fd092f788f587fea9a7f44467cff76df83c530",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",0,0,0,28,0,0,0,0,0,0,35,0,0,365,0,147,3934,0,7,16,0,0,12,0,0,0,0,7,0,526,0,0,182,0,0,0,0,0
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",0,0,0,5344,0,0,6954,0,0,0,0,0,0,0,0,0,0,9585,21130,20884,27105,0,0,0,0,0,0,0,0,3440,2581,2075,4175,0,0,0,0,0
"091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,1202,0,0,0,0,0,0,0,0,0,36999,0,0,0,0,0,0,0,0,0
"a56843c86d60d4423f69f4836868d31ea7eadf22",0,0,0,3710,0,0,200,0,0,0,0,0,0,0,0,0,0,3503,3024,2182,1196,90,0,0,173,0,0,0,1067,25905,18423,0,0,0,0,0,0,0
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0
"e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",0,0,0,930,0,0,5744,0,0,0,0,0,0,0,0,0,0,5526,11346,7039,17965,0,0,0,0,0,0,0,0,0,0,1612,0,0,0,0,0,0
"de42666eb0e70e73c99b1061e5e4bfe4477204b5",0,0,0,222,0,0,367,0,588,0,0,0,0,0,0,0,0,2956,3390,7325,5884,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf62a26ab8c1b5312a68133cb90988e0b24ee387",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63a7d0273f9bdd41fc062c411d5c529730a67ff1",0,0,0,3,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"9c97beb16679ecb7372370a34b07e5df5923ff76",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5b5aded2ca74ffb7f6b02448ffa90a36de662df",0,0,0,0,0,0,109,0,0,0,0,0,0,4,100,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5dbce0075732b37e517721c275ba3c2e14e50196",0,0,0,0,0,0,23,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bd4b9c9245a692142f393fe905f4f5d7d75bc4e7",0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25e8531396b00cb9cdd8c87db81331ec1a0ee28e",0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0
"dcda35cdb325fa88556c3ee37ba18e6f5d8bf054",0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b1932426254e4c84bc738472603af58f245c25d9",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cb0cf229832374ff8f4ce89c20348a90da9c04e1",0,0,0,0,0,0,0,10401,7900,7488,0,0,0,0,0,0,0,0,0,0,0,17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31f58f5089fdc196a53e11198d538061dd41bb97",0,0,0,0,0,0,0,146,0,974,0,0,0,0,0,10974,1357,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6d586dc78d8ef5cac238cba2d5714407775bd69",0,0,0,0,0,0,0,636,267,891,0,0,0,0,0,0,0,96,0,0,0,518,0,0,0,0,0,0,0,222,64,0,0,0,0,0,0,0
