"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"02e4a86c119ca4b65e5b616135fa996aa2eb4372",1578,3477,0,189,0,0,0,0,0,697,12885,32605,13231,14042,0,0,0,3075,3366,494,0,713,8742,9983,0,0,0,0,69,2217,1905,8727,4729,1565,11248,10498,10050,0
"ca4009e9f4961a466d717e77ddddcf64a374073d",191,36,0,59,0,0,198,0,0,0,11,70,27,0,0,141,233,64,50,97,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"629aa86f569921707980e85a596cb12105791f75",188,1209,90,90,144,0,113,19,0,0,0,78,350,271,1509,0,0,0,13,190,129,0,259,133,75,0,37,42,0,269,128,1030,575,0,0,0,0,0
"a786ab2b4d6cd6be5394f1351bea438a7d35726e",242,562,0,0,27,0,185,6,0,0,0,41,555,109,2402,55,0,0,0,62,0,0,318,63,29,0,53,46,0,367,220,695,584,0,0,0,0,0
"8399a44ac9eddd3a5e70f87c08014d7e00b2f02a",81,76,413,197,0,0,135,0,0,0,239,606,113,0,934,281,0,333,0,113,317,0,45,51,0,0,15,0,37,121,86,290,58,0,0,0,0,0
"8ec931f8723a382855753cbfb8c92bd75cf323a8",380,329,319,108,0,0,335,0,0,0,163,40,322,122,673,81,0,0,7,478,73,0,0,0,0,0,0,0,11,70,96,532,278,0,0,0,0,0
"419df96acea16e56d68cfa453e77987304ce4695",98,43,0,67,0,0,270,0,0,0,0,341,387,381,690,0,21,26,16,196,200,0,21,0,27,0,0,0,0,10,0,76,68,0,0,0,0,0
"f97301b29e339910bf632cf3fab2755f493eac31",353,29,0,95,0,0,136,0,0,0,0,68,0,29,709,0,0,8,0,365,140,0,0,0,0,0,0,0,0,76,106,154,106,0,0,0,0,0
"a3031e77ffa4c6cf7242a2a8f110a6689a42e882",69,0,53,0,0,0,0,0,0,0,0,208,118,0,303,182,210,0,15,153,50,0,175,152,49,0,38,45,0,94,0,68,0,0,0,0,0,0
"79a0a307f2b621a93c11acb25d21633f054b4d15",35,99,0,0,495,0,0,0,0,0,0,0,0,0,813,39,6,0,0,0,0,0,86,46,0,0,0,0,0,66,0,24,29,0,0,0,0,0
"7a252736c0fd14c374f5e52b0817eccdfcf5738e",245,0,0,0,762,0,78,0,0,0,0,0,0,0,129,0,36,0,0,0,95,0,52,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"09c6e1785ec090a52b290777a5058509454bf61f",771,0,0,0,0,0,0,0,0,0,0,0,0,198,301,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7bd7eeaa55a01f4d05c25582472ca5e58b1f6b14",161,84,0,0,1,0,31,0,0,0,0,0,0,0,213,90,0,0,0,0,66,0,0,49,0,0,0,0,0,39,0,197,281,0,0,0,0,0
"ad6053ef8b9c7ececb1449fbd7937cc28583b1eb",69,0,0,71,0,0,32,0,36,0,367,53,277,0,0,0,0,104,0,0,0,0,0,50,0,0,0,46,0,70,0,0,0,0,0,0,0,0
"0f393c323c7d2dcd0cb68a529747e8c4abfd9509",206,578,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,0,234,0,0,0,0,0
"c702739574b66bfbfb8161c171148965ba3b4c59",314,105,0,136,0,0,0,0,0,0,0,78,0,0,185,0,107,0,0,0,0,0,0,41,0,0,0,0,0,0,108,0,0,0,0,0,0,0
"b788eca460686de3f92b46d93b89eb571cd06bed",24,14,11,0,219,0,0,0,0,0,15,0,19,0,0,0,6,0,0,26,0,0,0,0,0,0,0,0,0,238,275,75,81,0,0,0,0,0
"572d0ebd3c85cad6ac4c8c13468d267182e42a2c",152,160,0,34,0,0,81,0,0,0,95,17,57,0,0,0,0,0,0,234,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4702e118146d7c95bcdd40a03886c3ce480a0232",96,126,72,49,107,74,47,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,48,34,0,0,0,0,0,0,0,87,175,0,0,0,0,0
"93a08621cefddb36afa51968b00f31c0067a0816",189,0,0,0,0,0,45,0,0,0,18,0,0,0,143,0,0,0,0,78,0,0,0,51,0,0,0,0,0,0,100,114,183,0,0,0,0,0
"8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8",55,220,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"095559f870ea2eb1c59f2f5b4aad1ffa3df97d09",411,65,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fb434d844c0eecd94ddb6cde96b0f0194c52c80a",493,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c55c48eea48f9b3d4988feef548151f23615fc8",28,240,57,40,65,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,30,86,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"0983c487b945163068419061c665b36b2718d0f0",50,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,0,2,0,0,0
"b2d7890d069f41e55fb8fbfbb07d9aaa90361748",160,203,26,29,0,44,0,0,0,0,0,0,0,18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0
"c447f6055f4d4185b3b56474d2464bd854ed6811",26,0,0,0,0,93,10,0,0,0,0,0,0,98,394,0,0,0,0,0,53,0,32,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"6f59d575eb8996f930b1622a5dc11b3f8734ccf5",105,0,0,0,42,0,0,0,0,0,0,25,45,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,26,20,119,161,0,0,0,0,0
"4cc5869eefb9e58238f909652527e14ab40fbd5a",167,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,36,0,0,0,44,134,0,0,0,0,0,0
"99aec683ed9e8d77e4785cdfa1a4f202370958d8",104,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,118,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0
"7d8d284f8419abb75e2ddb771080f1475447d26c",105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,372,16,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
