"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Taxon_01",1578,3477,0,189,0,0,0,0,0,697,12885,32605,13231,14042,0,0,0,3075,3366,494,0,713,8742,9983,0,0,0,0,69,2217,1905,8727,4729,1565,11248,10498,10050,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_02",191,36,0,59,0,0,198,0,0,0,11,70,27,0,0,141,233,64,50,97,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_03",0,3166,2732,4955,0,5171,2029,19556,15461,25063,12483,36453,17980,3859,0,22619,22033,5455,6400,3267,1894,18386,32568,26859,9584,25280,45329,47251,1264,1356,1760,0,0,47824,29361,29964,26118,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_04",105,8,12149,0,0,0,0,0,0,0,0,180,21,15056,4142,1326,11995,0,0,0,0,0,6664,4113,7439,9827,667,472,0,0,14,6,43,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_05",0,0,124,0,0,0,0,0,0,5,0,0,0,0,0,0,95,0,0,0,0,0,27,6,0,0,0,0,3,15,6,0,0,0,0,0,0,0
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Taxon_06",0,0,3403,0,0,0,0,699,214,0,1154,9717,2403,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,92,6678,8670,6555,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_07",0,0,0,28,0,0,0,0,0,0,35,0,0,365,0,147,3934,0,7,16,0,0,12,0,0,0,0,7,0,526,0,0,182,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Taxon_08",0,0,0,5344,0,0,6954,0,0,0,0,0,0,0,0,0,0,9585,21130,20884,27105,0,0,0,0,0,0,0,0,3440,2581,2075,4175,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__NA__Taxon_09",0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,1202,0,0,0,0,0,0,0,0,0,36999,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Taxon_10",0,0,0,3932,0,0,567,0,588,0,0,0,0,0,0,0,0,6459,6414,9507,7080,644,0,0,173,0,0,0,1067,25905,18423,0,0,0,0,0,0,0
