"","hash.id","tmp"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_0001","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Seq_0001"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_0002","ca4009e9f4961a466d717e77ddddcf64a374073d","Seq_0002"
"NA__NA__NA__NA__NA__NA__NA__Seq_0003","629aa86f569921707980e85a596cb12105791f75","Seq_0003"
"NA__NA__NA__NA__NA__NA__NA__Seq_0004","a786ab2b4d6cd6be5394f1351bea438a7d35726e","Seq_0004"
"NA__NA__NA__NA__NA__NA__NA__Seq_0005","8399a44ac9eddd3a5e70f87c08014d7e00b2f02a","Seq_0005"
"NA__NA__NA__NA__NA__NA__NA__Seq_0006","8ec931f8723a382855753cbfb8c92bd75cf323a8","Seq_0006"
"NA__NA__NA__NA__NA__NA__NA__Seq_0007","419df96acea16e56d68cfa453e77987304ce4695","Seq_0007"
"NA__NA__NA__NA__NA__NA__NA__Seq_0008","f97301b29e339910bf632cf3fab2755f493eac31","Seq_0008"
"NA__NA__NA__NA__NA__NA__NA__Seq_0009","a3031e77ffa4c6cf7242a2a8f110a6689a42e882","Seq_0009"
"NA__NA__NA__NA__NA__NA__NA__Seq_0010","79a0a307f2b621a93c11acb25d21633f054b4d15","Seq_0010"
"NA__NA__NA__NA__NA__NA__NA__Seq_0011","7a252736c0fd14c374f5e52b0817eccdfcf5738e","Seq_0011"
"NA__NA__NA__NA__NA__NA__NA__Seq_0012","09c6e1785ec090a52b290777a5058509454bf61f","Seq_0012"
"NA__NA__NA__NA__NA__NA__NA__Seq_0013","7bd7eeaa55a01f4d05c25582472ca5e58b1f6b14","Seq_0013"
"NA__NA__NA__NA__NA__NA__NA__Seq_0014","ad6053ef8b9c7ececb1449fbd7937cc28583b1eb","Seq_0014"
"NA__NA__NA__NA__NA__NA__NA__Seq_0015","0f393c323c7d2dcd0cb68a529747e8c4abfd9509","Seq_0015"
"NA__NA__NA__NA__NA__NA__NA__Seq_0016","c702739574b66bfbfb8161c171148965ba3b4c59","Seq_0016"
"NA__NA__NA__NA__NA__NA__NA__Seq_0017","b788eca460686de3f92b46d93b89eb571cd06bed","Seq_0017"
"NA__NA__NA__NA__NA__NA__NA__Seq_0018","572d0ebd3c85cad6ac4c8c13468d267182e42a2c","Seq_0018"
"NA__NA__NA__NA__NA__NA__NA__Seq_0019","4702e118146d7c95bcdd40a03886c3ce480a0232","Seq_0019"
"NA__NA__NA__NA__NA__NA__NA__Seq_0020","93a08621cefddb36afa51968b00f31c0067a0816","Seq_0020"
"NA__NA__NA__NA__NA__NA__NA__Seq_0021","8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8","Seq_0021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0022","095559f870ea2eb1c59f2f5b4aad1ffa3df97d09","Seq_0022"
"NA__NA__NA__NA__NA__NA__NA__Seq_0023","fb434d844c0eecd94ddb6cde96b0f0194c52c80a","Seq_0023"
"NA__NA__NA__NA__NA__NA__NA__Seq_0024","1c55c48eea48f9b3d4988feef548151f23615fc8","Seq_0024"
"NA__NA__NA__NA__NA__NA__NA__Seq_0025","0983c487b945163068419061c665b36b2718d0f0","Seq_0025"
"NA__NA__NA__NA__NA__NA__NA__Seq_0026","b2d7890d069f41e55fb8fbfbb07d9aaa90361748","Seq_0026"
"NA__NA__NA__NA__NA__NA__NA__Seq_0027","c447f6055f4d4185b3b56474d2464bd854ed6811","Seq_0027"
"NA__NA__NA__NA__NA__NA__NA__Seq_0028","6f59d575eb8996f930b1622a5dc11b3f8734ccf5","Seq_0028"
"NA__NA__NA__NA__NA__NA__NA__Seq_0029","4cc5869eefb9e58238f909652527e14ab40fbd5a","Seq_0029"
"NA__NA__NA__NA__NA__NA__NA__Seq_0030","99aec683ed9e8d77e4785cdfa1a4f202370958d8","Seq_0030"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0031","7d8d284f8419abb75e2ddb771080f1475447d26c","Seq_0031"
"NA__NA__NA__NA__NA__NA__NA__Seq_0032","a81e672f00bcc20926457e60435e6736d75defed","Seq_0032"
"NA__NA__NA__NA__NA__NA__NA__Seq_0033","9d007024b06dd34abd8bbd1cdfd92dab9e067a91","Seq_0033"
