"","tmp.hash","tmp.tx","wholetax.tg"
"1","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Taxon_01","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch"
"2","ca4009e9f4961a466d717e77ddddcf64a374073d","Taxon_02","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"3","fd7d89190e5c165cf36284ea0fca46c98216328c","Taxon_03","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii"
"4","580a64b0134da56e49bf06482ed6ee164d8a6ec5","Taxon_04","Metazoa__NA__NA__NA__NA__NA__NA"
"5","c161735732d10ef81323d9b5812491897d2eb5ab","Taxon_05","Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA"
"6","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Taxon_06","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561"
"7","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","Taxon_07","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"8","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","Taxon_08","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA"
"9","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","Taxon_09","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__NA"
"10","a56843c86d60d4423f69f4836868d31ea7eadf22","Taxon_10","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss"
"11","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","Taxon_11","Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA"
"12","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","Taxon_12","Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens"
"13","63a7d0273f9bdd41fc062c411d5c529730a67ff1","Taxon_13","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"14","9c97beb16679ecb7372370a34b07e5df5923ff76","Taxon_14","Metazoa__Chordata__Aves__Passeriformes__Fringillidae__NA__NA"
"15","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","Taxon_15","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
"16","5dbce0075732b37e517721c275ba3c2e14e50196","Taxon_16","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"17","bd4b9c9245a692142f393fe905f4f5d7d75bc4e7","Taxon_17","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus nerka"
"18","25e8531396b00cb9cdd8c87db81331ec1a0ee28e","Taxon_18","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
