"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"fd7d89190e5c165cf36284ea0fca46c98216328c",2534,639,322,1563,2433,1011,550,1020,2127,104,1270,21535,9256,17698,0,23792,33270,1209,723,1730,563,23414,25900,0,2694,780,902,13459,0,1688
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",21143,35539,41086,6119,36609,8816,22905,4075,15267,41804,20004,2981,21105,0,0,0,12602,17981,0,710,4363,1186,50,5,2647,1939,2493,37746,41145,38545
"02e4a86c119ca4b65e5b616135fa996aa2eb4372",822,0,0,0,0,0,58,0,0,41,15,5176,3135,6664,0,0,0,0,74,2041,5473,1234,11064,0,751,67,34,0,0,24
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",5166,4959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,5693,0,0,0,0,0,0,0,0,1689
"a56843c86d60d4423f69f4836868d31ea7eadf22",1227,1459,0,0,0,0,20,0,0,0,0,0,0,0,0,755,0,413,749,16921,0,0,0,0,0,0,0,0,0,355
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",4682,0,673,3826,0,0,358,0,0,0,0,0,970,604,0,0,0,852,0,290,9024,0,0,0,0,0,0,0,830,31375
"5dbce0075732b37e517721c275ba3c2e14e50196",4180,0,2163,0,2184,4789,0,0,6246,0,0,0,0,0,666,609,2346,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf62a26ab8c1b5312a68133cb90988e0b24ee387",14087,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,2268
"ca4009e9f4961a466d717e77ddddcf64a374073d",1677,5124,41,338,712,516,10,0,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,763,1097,0,0,992
"358d0def35bc8bcf2711011fb63f7fc511496cc5",1887,0,0,0,0,0,0,0,0,0,0,0,6059,1674,0,0,0,0,0,0,0,0,0,0,5646,0,0,0,0,0
"deaadc11b0189c975741718d011ab0f6897f6066",4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,1440,0,4196,0,0,0,0,0,0,544,0,0
"3ae1991ffdf36b0474c5c826509d80f84af07ac3",526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c",283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4a44fff3f00a0adcd644a92cea26b371d028aa13",182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b8d2da9f5137fbabf1e691e02e2c4c2cc77b021c",159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"db0b1239d8634c820470de6616c0c1fa7f5196a2",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bf60be7e16d83ebad289d747fbe1d123ecdd3dcb",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,294,0,0,0,0,0,0,0,0,335
"8001433422f2dfb9b7333084b5ae4a31130f34f2",0,439,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,6369,264,0,16,25956,3739,0,2275,0,0,0,0,0
"de42666eb0e70e73c99b1061e5e4bfe4477204b5",0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63a7d0273f9bdd41fc062c411d5c529730a67ff1",0,1026,0,8430,0,0,0,0,0,403,0,0,0,0,0,0,0,0,1300,725,3,0,0,0,0,1787,0,0,0,0
