"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"fd7d89190e5c165cf36284ea0fca46c98216328c",2534,639,322,1563,2433,1011,550,1020,2127,104,1270,21535,9256,17698,0,23792,33270,1209,723,1730,563,23414,25900,0,2694,780,902,13459,0,1688
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",21143,35539,41086,6119,36609,8816,22905,4075,15267,41804,20004,2981,21105,0,0,0,12602,17981,0,710,4363,1186,50,5,2647,1939,2493,37746,41145,38545
"02e4a86c119ca4b65e5b616135fa996aa2eb4372",822,0,0,0,0,0,58,0,0,41,15,5176,3135,6664,0,0,0,0,74,2041,5473,1234,11064,0,751,67,34,0,0,24
"49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",5166,4959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,5693,0,0,0,0,0,0,0,0,1689
"a56843c86d60d4423f69f4836868d31ea7eadf22",1227,1459,0,0,0,0,20,0,0,0,0,0,0,0,0,755,0,413,749,16921,0,0,0,0,0,0,0,0,0,355
"f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd",4682,0,673,3826,0,0,358,0,0,0,0,0,970,604,0,0,0,852,0,290,9024,0,0,0,0,0,0,0,830,31375
"5dbce0075732b37e517721c275ba3c2e14e50196",4180,0,2163,0,2184,4789,0,0,6246,0,0,0,0,0,666,609,2346,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf62a26ab8c1b5312a68133cb90988e0b24ee387",14087,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,2268
"ca4009e9f4961a466d717e77ddddcf64a374073d",1677,5124,41,338,712,516,10,0,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,763,1097,0,0,992
"358d0def35bc8bcf2711011fb63f7fc511496cc5",1887,0,0,0,0,0,0,0,0,0,0,0,6059,1674,0,0,0,0,0,0,0,0,0,0,5646,0,0,0,0,0
"406aec86258ef8821827fb46e2447a9aa2885cec",253,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
"deaadc11b0189c975741718d011ab0f6897f6066",4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,1440,0,4196,0,0,0,0,0,0,544,0,0
"b2adee11d0798c70d512e9c4a4ec72cf72fdab7a",100,149,252,128,0,33,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
"ed6e1448c045fb5baaa6842d6fa9fbe45fe3925a",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"de153c34b212edc93e83a42901b4b97d6e887c7f",11,8,0,4,262,12,0,311,0,0,52,0,0,0,0,0,57,0,0,0,0,0,16,0,0,0,0,0,0,0
"319199a59bd238b27cc8cd21c11d24f242baf997",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1817c9310d0145992696f8490f9c0dea4501cf52",65,0,0,87,5,31,0,78,0,0,0,0,0,0,10,0,129,0,44,19,162,0,0,0,0,0,12,8,0,0
"1fadccc74870a97d9f81bc8e1d5605812c9a2b4e",91,0,0,9,289,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ae1991ffdf36b0474c5c826509d80f84af07ac3",526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dafa5b01399623dcb32603db6d2ca3e1dc84cb65",430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ba53600f3ad463671553c38e8c8ad2ca05187967",198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e4029dcdd8cb228ef66634a4e1a84a133a3e174e",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
