"","NGN0277","NGN0278","NGN0279","NGN0280","NGN0281","NGN0282","NGN0283","NGN0284","NGN0285","NGN0286","NGN0287","NGN0288","NGN0289","NGN0290","NGN0291","NGN0292","NGN0293","NGN0294","NGN0295","NGN0296","NGN0297","NGN0298","NGN0300","NGN0301","NGN0360","NGN0361","NGN0362","NGN0363","NGN0364","NGN0365"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_001",2534,639,322,1563,2433,1011,550,1020,2127,104,1270,21535,9256,17698,0,23792,33270,1209,723,1730,563,23414,25900,0,2694,780,902,13459,0,1688
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_002",21143,36653,41086,6119,36609,9039,23101,6059,15267,41804,20178,2981,21557,0,0,0,12880,17981,0,710,4363,1186,50,5,2647,1939,2493,38277,41145,38545
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Taxon_003",822,0,0,0,0,0,58,0,0,41,15,5176,3135,6664,0,0,0,0,74,2041,5473,1234,11064,0,751,67,34,0,0,24
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Taxon_004",5166,4959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,5693,0,0,0,0,0,0,0,0,1689
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Taxon_005",1227,1901,0,0,0,0,20,0,0,0,0,0,0,0,0,755,0,413,749,16921,0,0,0,0,0,0,0,0,0,355
"Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Taxon_006",4682,0,673,3995,0,0,358,0,0,0,0,0,970,604,0,0,0,852,0,290,9024,0,0,0,0,0,0,0,830,31375
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Taxon_007",4180,0,2163,0,2184,4789,0,0,6246,0,0,0,0,0,666,609,2346,0,0,738,3906,553,0,0,0,0,2479,0,0,404
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus__Taxon_008",14087,0,0,0,0,0,0,0,0,0,0,0,0,1109,392,233,0,0,0,0,0,590,0,0,0,0,0,0,0,2268
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_009",1677,5124,41,338,712,516,10,0,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391,763,1097,0,0,992
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_010",1887,0,0,0,0,0,0,0,0,0,0,0,6059,1674,0,0,0,0,0,0,0,0,0,0,5747,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_011",4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,1440,0,4196,0,0,0,0,0,0,544,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_012",283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens__Taxon_013",0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,294,0,0,0,0,0,0,0,0,335
"Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA__Taxon_014",0,439,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,6369,353,0,16,25956,3739,0,2275,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Taxon_015",0,1026,0,8430,0,0,0,0,0,403,0,0,0,0,0,0,0,0,1570,725,3,0,0,0,0,1787,0,0,0,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_016",0,811,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_017",159,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_018",0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas__Taxon_019",0,0,196,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_020",0,0,2175,0,0,4106,420,0,8257,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10517,0,1431
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_021",0,0,4703,0,0,0,9418,0,0,0,0,0,1368,0,0,0,0,0,0,380,0,0,0,0,0,2203,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_022",0,0,3839,0,0,0,2321,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,5120,3191,0,0,0
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA__Taxon_023",0,0,822,0,0,0,0,0,0,0,0,273,0,0,0,0,0,291,328,0,0,0,0,0,0,0,0,0,0,6924
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus__Taxon_024",0,0,439,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Artiodactyla__Suidae__Sus__Sus scrofa__Taxon_025",0,0,1012,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_026",0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_027",0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Pelecaniformes__Ardeidae__NA__NA__Taxon_028",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Taxon_029",0,0,0,2910,0,16398,0,17820,10546,1826,28517,0,0,0,0,0,0,0,0,0,0,0,0,0,60826,47198,3547,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_030",604,0,0,375,2145,4883,0,0,0,0,0,5065,3464,6732,3641,17210,1548,1250,0,4,0,415,0,0,0,0,0,27004,2186,3291
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_031",0,0,0,1382,0,0,2136,4616,6854,6305,5601,2460,3761,511,0,0,0,2217,6741,5844,0,0,0,0,0,0,0,2724,0,0
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_032",0,0,2032,17372,7155,7965,3937,3729,9858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_033",0,0,0,536,0,0,0,520,0,0,0,951,0,0,0,0,0,1005,0,643,0,0,0,0,0,0,0,0,762,0
