"","tmp.hash","tmp.tx","wholetax.tg"
"1","fd7d89190e5c165cf36284ea0fca46c98216328c","Taxon_001","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii"
"2","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9","Taxon_002","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"3","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Taxon_003","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch"
"4","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4","Taxon_004","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA"
"5","a56843c86d60d4423f69f4836868d31ea7eadf22","Taxon_005","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss"
"6","f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd","Taxon_006","Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA"
"7","5dbce0075732b37e517721c275ba3c2e14e50196","Taxon_007","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"8","cf62a26ab8c1b5312a68133cb90988e0b24ee387","Taxon_008","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus"
"9","ca4009e9f4961a466d717e77ddddcf64a374073d","Taxon_009","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"10","358d0def35bc8bcf2711011fb63f7fc511496cc5","Taxon_010","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"11","deaadc11b0189c975741718d011ab0f6897f6066","Taxon_011","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"12","70a3e53e3e2c41bc4c57cbd79f14cc0d9c515f5c","Taxon_012","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"13","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","Taxon_013","Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens"
"14","8001433422f2dfb9b7333084b5ae4a31130f34f2","Taxon_014","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA"
"15","63a7d0273f9bdd41fc062c411d5c529730a67ff1","Taxon_015","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"16","f3a4193297e08babaf9d51ce01e251233096f19d","Taxon_016","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"17","ab2e31b187c6a9925abc4118619cb1431436064f","Taxon_017","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"18","12890bb6967e43edfc2992f7f347ad42e915163e","Taxon_018","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"19","cb0cf229832374ff8f4ce89c20348a90da9c04e1","Taxon_019","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas"
"20","f5b5aded2ca74ffb7f6b02448ffa90a36de662df","Taxon_020","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
"21","c6d586dc78d8ef5cac238cba2d5714407775bd69","Taxon_021","Metazoa__NA__NA__NA__NA__NA__NA"
"22","30742d31b3cc7a387b96133d0998ecee07c83597","Taxon_022","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"23","5c024b1d5c5f25af45599d69bd92b8837b2ba62f","Taxon_023","Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA"
"24","d15e926efd8720231adb32a8b4e6e40608827676","Taxon_024","Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus"
"25","da83c719cc06209b92f6b2c6a335a055a2db77cf","Taxon_025","Metazoa__Chordata__Mammalia__Artiodactyla__Suidae__Sus__Sus scrofa"
"26","4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","Taxon_026","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"27","dd15268ff7973674fcae8340cb69a866559c876d","Taxon_027","Metazoa__NA__NA__NA__NA__NA__NA"
"28","6f93809b6bc63b61b0d350733addd08a6ab86f2e","Taxon_028","Metazoa__Chordata__Aves__Pelecaniformes__Ardeidae__NA__NA"
"29","8519a7f742cabfdb887dc2013feba40c4584b8db","Taxon_029","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana"
"30","580a64b0134da56e49bf06482ed6ee164d8a6ec5","Taxon_030","Metazoa__NA__NA__NA__NA__NA__NA"
"31","c161735732d10ef81323d9b5812491897d2eb5ab","Taxon_031","Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA"
